Ключ,Название,Описание
eda_molochnoe_end_p3,ЕДА 🍽️ :: Молочное 🥛 :: {end} p3,
eda_muchnoe_pshenitsa_end_p3,ЕДА 🍽️ :: Мучное (пшеница) 🍞 :: {end} p3,
eda_sladosti_end_p3,ЕДА 🍽️ :: Сладости 🍬 :: {end} p3,
zhvt-obshch-vzdutie-all-p2,ЖВТ-ОБЩ 🫀 :: Вздутие 🎈 :: {all} p2,
zhvt-obshch-gazy-all-p2,ЖВТ-ОБЩ 🫀 :: Газы 💨 :: {all} p2,"25.05.23 Ну в целом радует, что в районе 2ух находится. А не 3-4"
zhvt-obshch-diskomfort-v-zhivote-all-p3,ЖВТ-ОБЩ 🫀 :: Дискомфорт в животе 🤕 :: {all} p3,
zhvt-obshch-izzhoga-all-p3,ЖВТ-ОБЩ 🫀 :: Изжога 🔥 :: {all} p3,Сидит ровно на 50%. Задолбала. 
zhvt_obshch_kal_plokhoi_end_p2,ЖВТ-ОБЩ 🫀 :: Кал (плохой) 🟤 :: {end} p2,
zhvt_pnk_golovokruzhenie_start_p2,ЖВТ-ПНК 🟤 :: Головокружение 🌀 :: {start} p2,"Стабильно уменьшается. Надо ждать. 👍
За последнюю неделю держаться на одном уровне 🤔"
zhvt-pnk-diareia-end-p3,ЖВТ-ПНК 🟤 :: Диарея 🚽 :: {end} p3,
zhvt-pnk-zapor-one-p3,ЖВТ-ПНК 🟤 :: Запор 🚽 :: {one} p3,
zhvt-pnk-pankreatit-i-moia-subektivnaia-otsenka-all-p2,ЖВТ-ПНК 🟤 :: Панкреатит и моя субъективная оценка 🩺💼 :: {all} p2,
zhvt_pnk_pankreatit_meshaet_rabotat_one_p3_def0,ЖВТ-ПНК 🟤 :: Панкреатит мешает работать 🩺💼 :: {one} p3 def0,
zhvt-pnk-toshnota-dfl-def0-p3,ЖВТ-ПНК 🟤 :: Тошнота 🤮 :: {dfl} def0 p3,
zhvt_pnk_fermenty_one_p3_pos_def1,ЖВТ-ПНК 🟤 :: Ферменты 💊 :: {one} p3 pos def1,
zdr-zariadka-dfl-def0-p4-pos,ЗДР 💪 :: Зарядка 🏋️ :: {dfl} def0 p4 pos,
zdr_obektivno_ia_zabolel_one_p3_def0,ЗДР 💪 :: Объективно я заболел 🩺 :: {one} p3 def0,
zdr-progulka-end-pos,ЗДР 💪 :: Прогулка 🚶 :: {end} pos,
nrv_mshn_agressiia_za_rulem_one_p3,НРВ-МШН 🚗 :: Агрессия за рулем 🤬 :: {one} p3,Проверка
nrv_mshn_nervoznost_i_stress_za_rulem_one_p3,НРВ-МШН 🚗 :: Нервозность и стресс за рулем 😠 :: {one} p3,
nrv_mshn_razdrazhaet_nerviruet_ezda_za_rulem_one_p3,НРВ-МШН 🚗 :: Раздражает (нервирует) езда за рулем 😠 :: {one} p3,
nrv_mshn_nervoznost_v_doroge_one_p3,НРВ-МШН 🤬 :: Нервозность в дороге 🚗 🤬 :: {one} p3,
obshch_ustalost_k_seredine_dnia_one_p3,ОБЩ 👤 :: Усталость к середине дня 😪 :: {one} p3,25.05.23 в целом хороший результат 👍
obshch_ustalost_end_p2,ОБЩ 👤 :: Усталость 😩 :: {end} p2,25.05.23 ну от пиковой усталости и я ушел 👍
prd-mlk-iogurt-dfl-def0-p4,ПРД-МЛК 🥗🥛 :: Йогурт 🍶 :: {dfl} def0 p4,
prd-mlk-morozhennoe-dfl-def0-p4,ПРД-МЛК 🥗🥛 :: Мороженное 🍦 :: {dfl} def0 p4,
prd_mlk_syr_all_p4,ПРД-МЛК 🥗🥛 :: Сыр 🧀 :: {all} p4,
prd_mlk_tvorog_all_def0_p4,ПРД-МЛК 🥗🥛 :: Творог 🍶 :: {all} def0 p4,
prd_much_vypechka_all_def0_p4,ПРД-МУЧ 🥗🌾 :: Выпечка 🥐 :: {all} def0 p4,
